date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
2018-01-03,9,GROATS_RICE_PASTA,RYZ SARITA BIALY PARABOILED 4x100G KAR.,1,1.66,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,RYZ SONKO  4X100G,18,1.83,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,RYZ SONKO 4X100 PARABOLICZNY,3,2.26333333333333,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,RYZ SONKO BRAZOWY 4X100 GR,1,1.76,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,SONKO KASZA JECZMIENNA 4X100G WIEJSKA,21,1.18,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,SONKO KASZA JECZMIENNA PERLOWA 4*100G,3,1.18,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,TORTELINO 250 G Z MIESEM,1,4.58,0.165,-4.03,1,2,73.23
2018-01-03,9,GROATS_RICE_PASTA,WAFLE SUNNY 60G Z CEBULA,1,1.87,0.165,-4.03,1,2,73.23
2018-01-04,10,GROATS_RICE_PASTA,BOBOVITA KASZKA WIELOOWOCOWA 230 G,1,6.93,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,CYKORIA SOS BIALY 25 G,1,1.01,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,HERBATNIKI PETIT BEURRE 65 G,5,0.59,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,KASZA GRYCZANA 4 X 100G SONKO,1,3.33,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,KASZA ORKISZOWA 4*100G,1,2.81,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,KASZKA MANNA 400 G KROS,1,0.92,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK LUBELLA  ZIARNO SWIDERKI 400G,3,2.69,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK SULMA NITKA ROSOLOWA 400G,3,2.02,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK SULMA NITKA SPAGHETTI 500G,2,2.62,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK ZLOTY LAN 500G  PENE,9,1.02,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK ZLOTY LAN MUSZELKA 500 G,1,0.89,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK ZLOTY LAN NITKA DOMOWA 250,21,1.02,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK ZLOTY LAN SWIDEREK 400G,4,1.31,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK ZLOTY LAN SWIDERKI 500 G,3,1.09,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAK.LUBELLA FALA 400G,4,2.34,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA BASIA TORTOWA 900 G ORKISZOWA,1,5.63,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA KOSZALINSKA  STOISLAW 1KG,3,1.72,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA KRUPCZATKA 1KG STOISLAW,2,1.96,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA KRUPCZATKA BASIA 1 KG,2,1.93,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA TORTOWA 1KG STOISLAW,11,1.96,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA TORTOWA BASIA 1 KG,10,1.59,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA WROCLAWSKA 1KG STOISLAW,5,1.72,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA WROCLAWSKA BASIA 1 KG,5,1.93,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA WROCLAWSKA ZLOTY LAN TYP 500 1KG,4,1.21,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKA ZIEMNIACZANA 500G NIECHLOW,5,1.52,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON ABAK BABUNI 250G 2 JAJ,7,1.57,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON CZANIECKI 250 G NITECZKA WALCOW,2,2.39,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON CZANIECKI 250G SWOJSKI,19,2.05,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON CZANIECKI GNIAZDKO 2,2,4.08,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON CZANIECKI NITKA WALCOWANA 500G,3,3.98,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON CZANIECKI RYZOWY 250 G,11,2.29818181818182,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON GWIAZDKI CZANIEC 250 G,1,1.09,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON KOLECZKI 250 G CZANIEC,1,1.09,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON LUBELL  LAZANKA  500G,1,2.24,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON LUBELLA  KOLANKO OZDOBNE 500G,3,2.43,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON NADODRZANSKI SWID.MA?Y 400G,16,1.49,12.08,10.37,1,1,72.47
2018-01-04,10,GROATS_RICE_PASTA,MAKARON POL MLYN 500 G NITKA DURUM,1,3,12.08,10.37,1,1,72.47
