,date,sku,group,name,quantity,unit_cogs,agg_cogs,unit_revenue,gross_margin,sunrise,sunset,HeatIndexC,cloudcover,humidity,tempC,Avgtemp
60,2018-01-01,1413,SWEETS,BATON BOUNTY 57G,12.0,"1,49",17.88,2.19,31.96,08:52 AM,04:31 PM,6,79,89,8,5.5
61,2018-01-01,8424,DAIRY_CHESSE,BATON FITELLA 25 G,3.0,"1,07",3.21,1.51,29.14,08:52 AM,04:31 PM,6,79,89,8,5.5
62,2018-01-01,19717,SWEETS,BATON IKAR XXL WAWEL,18.0,"1,09",19.62,1.62,32.72,08:52 AM,04:31 PM,6,79,89,8,5.5
63,2018-01-01,2738,SWEETS,BATON KINDER BUENO 43G,27.0,"1,81",48.87,2.43,25.51,08:52 AM,04:31 PM,6,79,89,8,5.5
64,2018-01-01,7983,DRINK_JUICE,BATON KINDER DELIC 39 G,3.0,"1,5",4.5,2.59,42.08,08:52 AM,04:31 PM,6,79,89,8,5.5
65,2018-01-01,16546,DAIRY_CHESSE,BATON KINDER MAXI KING Z KARMELEM 35G,9.0,"1,69",15.21,2.09,19.14,08:52 AM,04:31 PM,6,79,89,8,5.5
66,2018-01-01,10008,SWEETS,BATON KNOPERS 25G,9.0,"0,84",7.56,1.26,33.33,08:52 AM,04:31 PM,6,79,89,8,5.5
67,2018-01-01,2262,SWEETS,BATON LION 40 G PEANUT,3.0,"0,86",2.58,1.21,28.93,08:52 AM,04:31 PM,6,79,89,8,5.5
68,2018-01-01,840,SWEETS,BATON MACIEK XXL WAWEL  ADWOKAT,10.0,"1,09",10.9,1.62,32.72,08:52 AM,04:31 PM,6,79,89,8,5.5
69,2018-01-01,7353,SWEETS,BATON MARS 51 G,12.0,"1,04",12.48,1.54,32.47,08:52 AM,04:31 PM,6,79,89,8,5.5
70,2018-01-01,13984,SWEETS,BATON MILKI WAY PODWÓJNY,15.0,"1,2",18.0,1.86,35.48,08:52 AM,04:31 PM,6,79,89,8,5.5
71,2018-01-01,15504,SWEETS,BATON MILKY WAY 21 5,22.0,"0,6",13.2,0.8,25.0,08:52 AM,04:31 PM,6,79,89,8,5.5
72,2018-01-01,6782,SWEETS,BATON NESQUIK DELIC 25 G,6.0,"0,92",5.52,1.32,30.3,08:52 AM,04:31 PM,6,79,89,8,5.5
